Months;AveragesMinBreadth1;StdDevMinBreadth1;AveragesMinBreadth2;StdDevMinBreadth2
April;27.05455;17.95338;25.96852;11.83249
August;30.68387;19.52359;26.73926;11.52162
December;31.81154;20.72487;27.72015;11.45871
February;34.56111;23.39037;32.41671;10.49878
January;38.54444;21.81703;33.55700;10.27853
July;36.24500;21.92949;30.26307;12.95885
June;31.03333;18.41674;29.01989;12.52035
March;25.83483;15.18003;24.56826;12.95230
May;24.10072;13.36976;23.55646;11.58639
November;23.77372;13.23980;23.40080;10.89787
October;23.99896;14.34669;22.58471;10.58156
September;24.60492;16.45736;23.75702;11.80292
